"","ASR","category","type","rankings","iso","name"
"1845",9.6,"breast","mortality",155,"TKM","Turkmenistan"
"1846",2.5,"lung","incidence",155,"ERI","Eritrea"
"1847",4.5,"colorectum","incidence",155,"CAF","Central African Republic"
"1848",4.5,"colorectum","incidence",155,"YEM","Yemen"
"1849",3.5,"colorectum","mortality",155,"TCD","Chad"
"1850",3.5,"colorectum","mortality",155,"CPV","Cabo Verde"
"1851",3.5,"colorectum","mortality",155,"YEM","Yemen"
"1852",23.2,"breast","incidence",156,"WSM","Samoa"
"1853",2.4,"lung","incidence",156,"BFA","Burkina Faso"
"1854",2.4,"lung","incidence",156,"GMB","Gambia (Islamic Republic of the)"
"1855",2.4,"lung","incidence",156,"GHA","Ghana"
"1856",2.5,"liver","mortality",156,"MWI","Malawi"
"1857",2.5,"liver","mortality",156,"COG","Congo"
"1858",2.5,"liver","mortality",156,"PRI","Puerto Rico"
"1859",2.5,"liver","mortality",156,"IDN","Indonesia"
"1860",2.5,"liver","mortality",156,"THA","Thailand"
"1861",2.5,"liver","mortality",156,"AUS","Australia"
"1862",2.5,"stomach","mortality",156,"MWI","Malawi"
"1863",2.5,"stomach","mortality",156,"COG","Congo"
"1864",2.5,"stomach","mortality",156,"PRI","Puerto Rico"
"1865",2.5,"stomach","mortality",156,"IDN","Indonesia"
"1866",2.5,"stomach","mortality",156,"THA","Thailand"
"1867",2.5,"stomach","mortality",156,"AUS","Australia"
"1868",23,"breast","incidence",157,"VNM","Viet Nam"
"1869",9.5,"breast","mortality",157,"OMN","Oman"
"1870",2.1,"lung","mortality",157,"BFA","Burkina Faso"
"1871",2.1,"lung","mortality",157,"GHA","Ghana"
"1872",0.6,"thyroid","incidence",157,"MDG","Madagascar"
"1873",0.6,"thyroid","incidence",157,"MOZ","Mozambique"
"1874",0.6,"thyroid","incidence",157,"TZA","United Republic of Tanzania"
"1875",0.6,"thyroid","incidence",157,"SWZ","Swaziland"
"1876",0.6,"thyroid","incidence",157,"GIN","Guinea"
"1877",0.6,"thyroid","incidence",157,"GNB","Guinea Bissau"
"1878",0.6,"thyroid","incidence",157,"SLE","Sierra Leone"
"1879",0.6,"thyroid","incidence",157,"BGD","Bangladesh"
"1880",0.6,"thyroid","incidence",157,"AZE","Azerbaijan"
"1881",0.2,"thyroid","mortality",157,"GAB","Gabon"
